Incident ID,Location Name,Incident Type,Verification,lat,lon,Date↕,Visual Evidence,Sources
00000-23268,,Attack on hospitals and vicinity,confirmed,31.33444,34.29718,,youtube.com↗,middleeasteye.net↗
31007-54450,Nasser Hospital,Attack on hospitals and vicinity,confirmed,,,07 Oct 2023,Unknown,english.wafa.ps↗ ochaopt.org↗
31007-22754,Indonesian Hospital,Attack on hospitals and vicinity,confirmed,,,07 Oct 2023,Unknown,@MOHMediaGaza↗
31007-87030,,Airstrike,confirmed,31.50468,34.42918,07 Oct 2023,@MahaGaza↗,@MahaGaza↗
31007-94264,,Airstrike,confirmed,31.48832,34.44595,07 Oct 2023,Unknown,airwars.org↗
31007-95308,,"Airstrike, Attack on journalists",confirmed,31.5294,34.47974,07 Oct 2023,Unknown,airwars.org↗
31007-28837,Nasser Hospital,"Attack on medical workers, Airstrike",confirmed,31.347,34.29233,07 Oct 2023,Unknown,airwars.org↗
31007-40549,,"Airstrike, Attack on journalists",confirmed,31.45006,34.39293,07 Oct 2023,Unknown,airwars.org↗
31007-99620,,Airstrike,confirmed,31.51336,34.43765,07 Oct 2023,@obretix↗,@obretix↗
31007-61021,Nasser Hospital,Airstrike,confirmed,31.34703,34.29317,07 Oct 2023,Unknown,airwars.org↗
31007-23907,Indonesian Hospital,Airstrike,confirmed,31.53519,34.50938,07 Oct 2023,Unknown,airwars.org↗
31007-58488,Al-Baraa Mosque,Airstrike,confirmed,31.50243,34.42952,07 Oct 2023,facebook.com↗,airwars.org↗
31007-45971,Palestine Tower,Airstrike,confirmed,31.51398,34.44989,07 Oct 2023,instagram.com↗,@ShehabTelegram↗
31007-12642,,Airstrike,confirmed,31.30731,34.36037,07 Oct 2023,Unknown,airwars.org↗
31007-95639,,Airstrike,confirmed,31.28314,34.25679,07 Oct 2023,Unknown,airwars.org↗
31007-71735,,Airstrike,confirmed,31.50348,34.44794,07 Oct 2023,@obretix↗,airwars.org↗ amnesty.org↗
31007-83887,Saad Al-Ansar Mosque,Airstrike,confirmed,31.54434,34.50566,07 Oct 2023,facebook.com↗,@ShehabTelegram↗
31007-43886,,Airstrike,confirmed,31.53552,34.45228,07 Oct 2023,@obretix↗,@obretix↗
31007-77751,,"Attack on medical workers, Airstrike",confirmed,31.53519,34.50938,07 Oct 2023,Unknown,airwars.org↗
31007-54612,,Airstrike,most likely,31.34844,34.27941,07 Oct 2023,Unknown,@ShehabTelegram↗
31007-11655,,Airstrike,confirmed,31.33857,34.34419,07 Oct 2023,facebook.com↗,airwars.org↗ @ShehabTelegram↗
31007-13242,,Airstrike,most likely,31.54198,34.53604,07 Oct 2023,Unknown,nabd.com↗
31007-39317,Al-Habib Muhammad Mosque,Airstrike,confirmed,31.36031,34.29444,07 Oct 2023,@HaniyaFatiha↗,@ShehabTelegram↗
31007-27498,,Airstrike,confirmed,31.34865,34.27963,07 Oct 2023,Unknown,@ShehabTelegram↗
31007-11661,,Airstrike,confirmed,31.32342,34.34736,07 Oct 2023,Unknown,airwars.org↗
31008-48738,Sheikh Hamad Hospital,Attack on hospitals and vicinity,confirmed,,,08 Oct 2023,Unknown,
31008-90134,Al-Wafa (Gaza),Attack on hospitals and vicinity,confirmed,,,08 Oct 2023,facebook.com↗,
31008-12643,Headquartes of the National Islamic Bank,Airstrike,confirmed,31.51495,34.45198,08 Oct 2023,Unknown,@AjaNews↗
31008-33031,Headquarters of Production Bank,Airstrike,confirmed,31.51275,34.45238,08 Oct 2023,Unknown,@AJABreaking↗
31008-18287,Al-Watan Tower,Airstrike,confirmed,31.51495,34.45198,08 Oct 2023,@rosa_noctis↗,youtube.com↗
31008-80756,,Airstrike,confirmed,31.54152,34.53966,08 Oct 2023,Unknown,airwars.org↗
31008-69580,,Airstrike,confirmed,31.53858,34.537,08 Oct 2023,Unknown,airwars.org↗
31008-98675,,Airstrike,confirmed,31.43414,34.36993,08 Oct 2023,Unknown,airwars.org↗
31008-78101,Matar Building next to Royal Restaurant (IG),Airstrike,confirmed,31.4423,34.39718,08 Oct 2023,instagram.com↗,airwars.org↗ @ShehabTelegram↗
31008-48110,Hammad family home,Airstrike,confirmed,31.5532,34.49866,08 Oct 2023,@ShehabTelegram↗,english.almayadeen.net↗
31008-32955,Bahlul Petrol Station,Airstrike,confirmed,31.54165,34.46629,08 Oct 2023,@Osinttechnical↗,airwars.org↗ @ShehabTelegram↗
31008-64734,Ali Bin Abi Talib Mosque,Airstrike,confirmed,31.49192,34.44749,08 Oct 2023,facebook.com↗,airwars.org↗
31008-62777,,Airstrike,confirmed,31.54016,34.53456,08 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31008-24034,,Airstrike,confirmed,31.48993,34.47868,08 Oct 2023,@IAFsite↗,
31008-61508,,"Attack on lawyers, Airstrike",confirmed,31.43793,34.40386,08 Oct 2023,Unknown,airwars.org↗ mezan.org↗
31008-34334,Abdel Azzam Mosque,Airstrike,confirmed,31.54526,34.52521,08 Oct 2023,facebook.com↗,airwars.org↗
31008-33534,Al-Aklouk Tower,Airstrike,confirmed,31.52992,34.45444,08 Oct 2023,@AlarabyTelevision↗,@akhmxt1↗@AlarabyTelevision↗
31008-54549,,Airstrike,confirmed,31.54198,34.53604,08 Oct 2023,facebook.com↗,airwars.org↗
31008-39498,,Airstrike,confirmed,31.45882,34.38941,08 Oct 2023,facebook.com↗,airwars.org↗
31008-64544,,Airstrike,confirmed,31.45336,34.39058,08 Oct 2023,Unknown,airwars.org↗
31008-71637,,Airstrike,confirmed,31.537,34.547,08 Oct 2023,@manniefabian↗,
31008-71933,,Airstrike,confirmed,31.49412,34.47238,08 Oct 2023,@AlarabyTelevision↗,airwars.org↗
31008-14591,Ansari mosque (mentions morning strike),Airstrike,confirmed,31.4924,34.46947,08 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31008-78698,Al-Najjar family home,Airstrike,confirmed,31.54077,34.492,08 Oct 2023,@pmofa↗,airwars.org↗
31008-93457,Shamlakh family home,Airstrike,confirmed,31.50422,34.41714,08 Oct 2023,facebook.com↗,airwars.org↗
31008-39784,,Airstrike,confirmed,31.53996,34.46764,08 Oct 2023,Unknown,@ShehabTelegram↗
31008-78449,,Airstrike,confirmed,31.54848,34.51057,08 Oct 2023,Unknown,airwars.org↗
31008-29847,Abu Zuhri Building,Airstrike,confirmed,31.28422,34.25883,08 Oct 2023,Unknown,airwars.org↗
31008-44350,Al-Manshiya area/Sultans Area Street nearby Salim Mosque,Airstrike,confirmed,31.54889,34.49859,08 Oct 2023,Unknown,airwars.org↗ @ShehabTelegram↗@ShehabTelegram↗
31008-82236,Yarmouk Mosque,Airstrike,confirmed,31.52274,34.46295,08 Oct 2023,facebook.com↗,airwars.org↗
31008-41391,Al-Majd Tower,Airstrike,confirmed,31.5024,34.42952,08 Oct 2023,@AlarabyTelevision↗,@AlarabyTelevision↗
31009-48673,,Attack on aid,confirmed,31.52216,34.4413,09 Oct 2023,@ShehabTelegram↗,
31206-44552,Gaza Industrial Estate,Attack on aid,confirmed,31.47692,34.47215,09 Oct 2023,facebook.com↗,paxforpeace.nl↗
31009-83107,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,31.52398,34.4444,09 Oct 2023,@hamdahsalhut↗,
31009-37369,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,09 Oct 2023,@MOHMediaGaza↗,youtube.com↗ @MOHMediaGaza↗
31010-29706,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,09 Oct 2023,@AlarabyTelevision↗@ShehabTelegram↗,@AlarabyTelevision↗
31009-74237,Beit Hanoun Hospital,Attack on hospitals and vicinity,confirmed,,,09 Oct 2023,Unknown,aljazeera.com↗ almayadeen.net↗ ochaopt.org↗ aa.com.tr↗
31009-64406,International Eye Hospital,Attack on hospitals and vicinity,confirmed,,,09 Oct 2023,facebook.com↗,petra.gov.jo↗ theguardian.com↗
31009-79705,,Airstrike,confirmed,31.28021,34.25022,09 Oct 2023,@ChrIS0sieck↗,airwars.org↗ @ShehabTelegram↗
31009-81992,,Airstrike,confirmed,31.37247,34.33962,09 Oct 2023,Unknown,airwars.org↗ @ShehabTelegram↗@ShehabTelegram↗
31009-10878,Um al-Fahem school,Airstrike,confirmed,31.55237,34.48735,09 Oct 2023,Unknown,airwars.org↗
31009-38670,,Airstrike,confirmed,31.53195,34.50669,09 Oct 2023,Unknown,airwars.org↗
31009-81535,Ahmed Yassin Mosque,Airstrike,confirmed,31.53701,34.45077,09 Oct 2023,@Aljarmaqnetnews↗,airwars.org↗
31009-22468,Al Gharbi Mosque,Airstrike,confirmed,31.53337,34.44351,09 Oct 2023,@ChrIS0sieck↗,airwars.org↗
31009-79658,,Airstrike,confirmed,31.4113,34.34072,09 Oct 2023,@ShehabTelegram↗,archive.ph↗
31009-57413,,Airstrike,confirmed,31.48548,34.44488,09 Oct 2023,Unknown,airwars.org↗
31009-17297,,Airstrike,confirmed,31.42064,34.3405,09 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31009-25225,,Airstrike,confirmed,31.27528,34.25028,09 Oct 2023,i0.wp.com↗,airwars.org↗ pbc.ps↗
31009-17593,,Airstrike,confirmed,31.34017,34.34618,09 Oct 2023,Unknown,@ShehabTelegram↗
31009-90073,Al Trans roundabout,"Attack on medical workers, Airstrike",confirmed,31.5314,34.49896,09 Oct 2023,@work2873↗,airwars.org↗
31009-49082,Abu Dayer Commercial Complex,"Attack on medical workers, Airstrike",confirmed,31.53211,34.4985,09 Oct 2023,@AlarabyTelevision↗,airwars.org↗ @ShehabTelegram↗
31009-66302,Same strike than market,Airstrike,confirmed,31.53178,34.49847,09 Oct 2023,facebook.com↗,facebook.com↗
31009-41466,,Airstrike,confirmed,31.49968,34.45957,09 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31009-62362,International Eye Hospital,Airstrike,confirmed,31.50782,34.43149,09 Oct 2023,@WarMonitors↗,@swilkinsonbc↗
31009-42356,Bilal bin Rabah Mosque,Airstrike,confirmed,31.50356,34.4527,09 Oct 2023,Unknown,airwars.org↗
31009-32706,Abdullah Bin Omar/ Al Sousi mosque,Airstrike,confirmed,31.52955,34.44708,09 Oct 2023,@chrIS0sieck↗,airwars.org↗
31009-75846,House of Abu al-Bara Sultan,Airstrike,confirmed,31.34922,34.28191,09 Oct 2023,@GazaNewsNow↗,
31009-21067,Taiba Mosque,Airstrike,confirmed,31.55095,34.50382,09 Oct 2023,Unknown,@ShehabTelegram↗
31009-23881,,Airstrike,confirmed,31.2885,34.26718,09 Oct 2023,facebook.com↗,airwars.org↗
31009-54682,Al Wahda Street,Airstrike,confirmed,31.50833,34.46135,09 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31009-65746,Al Nasmawi towers,Airstrike,confirmed,31.34426,34.29102,09 Oct 2023,@ShehabTelegram↗,airwars.org↗ airwars.org↗
31009-89888,,Airstrike,confirmed,31.53679,34.46539,09 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31009-10300,al-Abbas police station,Airstrike,confirmed,31.52274,34.44122,09 Oct 2023,@ShehabTelegram↗,@ShehabTelegram↗
31009-76746,Al-Abbas Mosque,Airstrike,confirmed,31.52274,34.44122,09 Oct 2023,gettyimages.be↗,@QudsNen↗middleeastmonitor.com↗
31009-38052,,Airstrike,confirmed,31.43837,34.40415,09 Oct 2023,Unknown,airwars.org↗
31009-99512,Gaza Ministry of Social Affairs,Airstrike,confirmed,31.52104,34.44997,09 Oct 2023,Unknown,@ShehabTelegram↗
31009-64302,,Airstrike,confirmed,31.54079,34.48872,09 Oct 2023,Unknown,airwars.org↗
31009-92850,,Airstrike,confirmed,31.51189,34.43893,09 Oct 2023,@doppelot↗,@doppelot↗@ShehabTelegram↗
