"~id","~labels","id","visualEvidence","type","verification","date","name","latitude","longitude","link"
"0","Incident","00000-23268","youtube.com↗","Attack on hospitals and vicinity","confirmed",,,,,
"1","Incident","31007-54450","Unknown","Attack on hospitals and vicinity","confirmed","07 Oct 2023",,,,
"2","Incident","31007-22754","Unknown","Attack on hospitals and vicinity","confirmed","07 Oct 2023",,,,
"3","Incident","31007-87030","@MahaGaza↗","Airstrike","confirmed","07 Oct 2023",,,,
"4","Incident","31007-94264","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"5","Incident","31007-95308","Unknown","Airstrike, Attack on journalists","confirmed","07 Oct 2023",,,,
"6","Incident","31007-28837","Unknown","Attack on medical workers, Airstrike","confirmed","07 Oct 2023",,,,
"7","Incident","31007-40549","Unknown","Airstrike, Attack on journalists","confirmed","07 Oct 2023",,,,
"8","Incident","31007-99620","@obretix↗","Airstrike","confirmed","07 Oct 2023",,,,
"9","Incident","31007-61021","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"10","Incident","31007-23907","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"11","Incident","31007-58488","facebook.com↗","Airstrike","confirmed","07 Oct 2023",,,,
"12","Incident","31007-45971","instagram.com↗","Airstrike","confirmed","07 Oct 2023",,,,
"13","Incident","31007-12642","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"14","Incident","31007-95639","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"15","Incident","31007-71735","@obretix↗","Airstrike","confirmed","07 Oct 2023",,,,
"16","Incident","31007-83887","facebook.com↗","Airstrike","confirmed","07 Oct 2023",,,,
"17","Incident","31007-43886","@obretix↗","Airstrike","confirmed","07 Oct 2023",,,,
"18","Incident","31007-77751","Unknown","Attack on medical workers, Airstrike","confirmed","07 Oct 2023",,,,
"19","Incident","31007-54612","Unknown","Airstrike","most likely","07 Oct 2023",,,,
"20","Incident","31007-11655","facebook.com↗","Airstrike","confirmed","07 Oct 2023",,,,
"21","Incident","31007-13242","Unknown","Airstrike","most likely","07 Oct 2023",,,,
"22","Incident","31007-39317","@HaniyaFatiha↗","Airstrike","confirmed","07 Oct 2023",,,,
"23","Incident","31007-27498","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"24","Incident","31007-11661","Unknown","Airstrike","confirmed","07 Oct 2023",,,,
"25","Incident","31008-48738","Unknown","Attack on hospitals and vicinity","confirmed","08 Oct 2023",,,,
"26","Incident","31008-90134","facebook.com↗","Attack on hospitals and vicinity","confirmed","08 Oct 2023",,,,
"27","Incident","31008-12643","Unknown","Airstrike","confirmed","08 Oct 2023",,,,
"28","Incident","31008-33031","Unknown","Airstrike","confirmed","08 Oct 2023",,,,
"29","Incident","31008-18287","@rosa_noctis↗","Airstrike","confirmed","08 Oct 2023",,,,
"30","Incident","31008-80756","Unknown","Airstrike","confirmed","08 Oct 2023",,,,
"31","Incident","31008-69580","Unknown","Airstrike","confirmed","08 Oct 2023",,,,
"32","Incident","31008-98675","Unknown","Airstrike","confirmed","08 Oct 2023",,,,
"33","Incident","31008-78101","instagram.com↗","Airstrike","confirmed","08 Oct 2023",,,,
"34","Incident","31008-48110","@ShehabTelegram↗","Airstrike","confirmed","08 Oct 2023",,,,
"35","Incident","31008-32955","@Osinttechnical↗","Airstrike","confirmed","08 Oct 2023",,,,
"36","Incident","31008-64734","facebook.com↗","Airstrike","confirmed","08 Oct 2023",,,,
"37","Incident","31008-62777","@ShehabTelegram↗","Airstrike","confirmed","08 Oct 2023",,,,
"38","Incident","31008-24034","@IAFsite↗","Airstrike","confirmed","08 Oct 2023",,,,
"39","Incident","31008-61508","Unknown","Attack on lawyers, Airstrike","confirmed","08 Oct 2023",,,,
"1832","Location",,,,,,"Nasser Hospital",,,
"1833","Location",,,,,,"Indonesian Hospital",,,
"1834","Location",,,,,,"Al-Baraa Mosque",31.50243,34.42952,
"1835","Location",,,,,,"Palestine Tower",31.51398,34.44989,
"1836","Location",,,,,,"Saad Al-Ansar Mosque",31.54434,34.50566,
"1837","Location",,,,,,"Al-Habib Muhammad Mosque",31.36031,34.29444,
"1838","Location",,,,,,"Sheikh Hamad Hospital",,,
"1839","Location",,,,,,"Al-Wafa (Gaza)",,,
"1840","Location",,,,,,"Headquartes of the National Islamic Bank",31.51495,34.45198,
"1841","Location",,,,,,"Headquarters of Production Bank",31.51275,34.45238,
"1842","Location",,,,,,"Al-Watan Tower",31.51495,34.45198,
"1843","Location",,,,,,"Matar Building next to Royal Restaurant (IG)",31.4423,34.39718,
"1844","Location",,,,,,"Hammad family home",31.5532,34.49866,
"1845","Location",,,,,,"Bahlul Petrol Station",31.54165,34.46629,
"1846","Location",,,,,,"Ali Bin Abi Talib Mosque",31.49192,34.44749,
"2354","Source",,,,,,"middleeasteye.net↗",,,
"2355","Source",,,,,,"english.wafa.ps↗",,,
"2356","Source",,,,,,"ochaopt.org↗",,,
"2357","Source",,,,,,"@MOHMediaGaza↗",,,
"2359","Source",,,,,,"@MahaGaza↗",,,
"2360","Source",,,,,,"airwars.org↗",,,
"2361","Source",,,,,,"@obretix↗",,,
"2362","Source",,,,,,"@ShehabTelegram↗",,,
"2363","Source",,,,,,"amnesty.org↗",,,
"2364","Source",,,,,,"nabd.com↗",,,
"2366","Source",,,,,,"@AjaNews↗",,,
"2367","Source",,,,,,"@AJABreaking↗",,,
"2368","Source",,,,,,"youtube.com↗",,,
"2369","Source",,,,,,"english.almayadeen.net↗",,,
"2370","Source",,,,,,"mezan.org↗",,,
"2697","VisualEvidence",,,,,,,,,"youtube.com↗"
"2698","VisualEvidence",,,,,,,,,"Unknown"
"2699","VisualEvidence",,,,,,,,,"@MahaGaza↗"
"2700","VisualEvidence",,,,,,,,,"@obretix↗"
"2701","VisualEvidence",,,,,,,,,"facebook.com↗"
"2702","VisualEvidence",,,,,,,,,"instagram.com↗"
"2703","VisualEvidence",,,,,,,,,"@HaniyaFatiha↗"
"2704","VisualEvidence",,,,,,,,,"@rosa_noctis↗"
"2705","VisualEvidence",,,,,,,,,"@ShehabTelegram↗"
"2706","VisualEvidence",,,,,,,,,"@Osinttechnical↗"
"2707","VisualEvidence",,,,,,,,,"@IAFsite↗"
